LOCALIDADE,ANO,SEMANA,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,MEDIANA,MAXIMO,Valor entre MED_MAX,ACUMULO_CHUVA
RECIFE,2005,1,16.8,12.2,0,35,31,244.8,31.4,56.6,14.2,44.4,7,1.8,14.8,244.8,129.8,SIM
RECIFE,2005,2,0.2,36.6,1,21.8,107.8,106.2,51,18,24.4,8.2,1,141.6,14.8,141.6,78.2,NAO
RECIFE,2005,3,0.8,20,12,52.6,149,242.2,13.2,107.2,6,5.8,1.6,6.4,14.8,242.2,128.5,SIM
RECIFE,2005,4,0,17.6,32,14.6,190.6,94.4,50.8,110.2,0.6,0,1,2,14.8,190.6,102.7,SIM
RECIFE,2005,5,0,0,36.2,0,47.4,44.2,21.4,14.8,1,0,0.4,13.6,14.8,47.4,31.1,NAO
RECIFE,2006,1,0.4,2,47.6,0.6,27.8,10.6,59.4,26.6,20,1.4,4,0,14.8,59.4,37.1,NAO
RECIFE,2006,2,3.8,0,0.2,101,2.2,141.4,52.6,60.8,24.6,2.8,0.2,3.6,14.8,141.4,78.1,NAO
RECIFE,2006,3,8,7.4,26.2,55.4,7,62,54,66.2,12.6,0.4,68.2,2.2,14.8,68.2,41.5,NAO
RECIFE,2006,4,0.2,23.4,70.8,46,44,155.2,59.6,4.6,2,3.2,12,92.8,14.8,155.2,85,NAO
RECIFE,2006,5,0.8,0,2.2,115.8,4,64.4,1.4,54,1.8,1.8,0,10.2,14.8,115.8,65.3,NAO
RECIFE,2007,1,76.2,0,16,1.8,105.4,52.4,109.2,25.6,0.4,3.6,0,0.2,14.8,109.2,62,NAO
RECIFE,2007,2,7.4,1.6,14.2,31.8,22,56.2,63,73.6,85.6,18.2,5.8,17.8,14.8,85.6,50.2,NAO
RECIFE,2007,3,0.8,29,57.4,219.8,23.8,106.2,85.8,80.8,32,2.8,23.4,1.2,14.8,219.8,117.3,SIM
RECIFE,2007,4,0.6,102.6,26.6,65.2,70.4,47.8,56.6,26.2,2.8,0.4,0.8,12,14.8,102.6,58.7,NAO
RECIFE,2007,5,0,23.6,1.8,22.6,2.4,130.4,9,11,1.4,1.8,8.8,0,14.8,130.4,72.6,NAO
RECIFE,2008,1,8.2,4.4,19.4,8.2,61.4,50,91.4,0,0,0,0,0,14.8,91.4,53.1,NAO
RECIFE,2008,2,16.8,4.8,40.8,88,190.6,56.6,21.6,0,0,0,0,0,14.8,190.6,102.7,SIM
RECIFE,2008,3,37.8,20.4,191.4,30.8,90.6,116,53.8,0,0,0,0,0,14.8,191.4,103.1,SIM
RECIFE,2008,4,14.2,2,32.2,19.6,31,55.4,33.4,0,0,0,0,0,14.8,55.4,35.1,NAO
RECIFE,2008,5,8.6,0,110.2,63.8,60,1.4,0,0,0,0,0,0,14.8,110.2,62.5,NAO
RECIFE,2009,1,0,0,3.6,0,0,0,36.8,83.8,7.6,0.2,2.4,4,14.8,83.8,49.3,NAO
RECIFE,2009,2,2.4,0,0,0,0,0,144.6,34.4,23.6,0,10.8,0,14.8,144.6,79.7,NAO
RECIFE,2009,3,46,103.4,0,0,0,0,58.2,25.8,46.4,10.8,3.4,20.4,14.8,103.4,59.1,NAO
RECIFE,2009,4,0,4.6,0,0,0,0,63,74,0.2,3,27.2,20.8,14.8,74,44.4,NAO
RECIFE,2009,5,0,22,0,0,0,0,20,0,0.2,0.4,0.6,0.6,14.8,22,18.4,NAO
RECIFE,2010,1,13.2,1.4,0,36,28.4,36,7.6,62.8,27.4,0,0,2.2,14.8,62.8,38.8,NAO
RECIFE,2010,2,42.2,15.6,2.4,73,49.4,33.8,73,22.6,10.4,0,0,0.8,14.8,73,43.9,NAO
RECIFE,2010,3,34,27.2,37,101.2,22.6,342.4,88.6,40.6,3.2,0,0,63.4,14.8,342.4,178.6,SIM
RECIFE,2010,4,63.4,1.4,36.2,27.4,12.2,57,44.6,50.8,0,0,0,8.6,14.8,63.4,39.1,NAO
RECIFE,2010,5,20.8,0,8.6,21.2,2,32,31.8,3.6,0,0,0,3.2,14.8,32,23.4,NAO
RECIFE,2011,1,35.4,8.2,38.8,1,275.6,27.4,35.4,6.8,2.2,2.8,28.4,0.4,14.8,275.6,145.2,SIM
RECIFE,2011,2,6.6,100.2,35.6,115.2,56,28.6,67.4,32,3.6,10.4,27.6,22.6,14.8,115.2,65,NAO
RECIFE,2011,3,54.6,116.8,1.2,172.8,106.6,94.4,217,34.2,15.6,13.2,13.4,1.6,14.8,217,115.9,SIM
RECIFE,2011,4,30.6,68.4,26.6,223.6,120.2,106.8,21.2,69,8.2,5,0,11.4,14.8,223.6,119.2,SIM
RECIFE,2011,5,7.8,0,19.8,79,42.8,26.8,115.8,17.2,6.2,0.4,7.4,9.2,14.8,115.8,65.3,NAO
RECIFE,2012,1,3.2,2.6,0.4,41.4,17.4,8.4,76.6,37.2,3.2,4.2,0,5.8,14.8,76.6,45.7,NAO
RECIFE,2012,2,32,5.2,3.2,8.2,12.6,13,100.8,22.2,6.4,48.2,6.8,11.4,14.8,100.8,57.8,NAO
RECIFE,2012,3,88,117.4,1.6,9.4,24.6,134.4,34.2,64.8,8.8,3.4,3,1.2,14.8,134.4,74.6,NAO
RECIFE,2012,4,62.8,38.4,85,1.6,94.4,45.2,23,49.2,0.2,2,2.2,2.8,14.8,94.4,54.6,NAO
RECIFE,2012,5,12.8,3.2,19,0,51.8,97,12.8,2.8,3.8,0,0,2.6,14.8,97,55.9,NAO
RECIFE,2013,1,76.8,0.8,1.4,6.6,11,34.8,124.6,4.8,46.4,4.8,29.2,2,14.8,124.6,69.7,NAO
RECIFE,2013,2,16.2,11.4,50.6,5.8,27.4,145,141,18,69.6,29.6,13.4,0,14.8,145,79.9,NAO
RECIFE,2013,3,2,1,28,42.8,176.6,177.8,73,146.2,14.6,32.4,1,160.4,14.8,177.8,96.3,SIM
RECIFE,2013,4,0.2,34.4,18.2,121.2,43.2,89.8,47.6,30.4,1,65.2,33.2,3,14.8,121.2,68,NAO
RECIFE,2013,5,0,1.8,0,63,60,27.4,25.2,27,9.8,1.8,3.2,5.4,14.8,63,38.9,NAO
RECIFE,2014,1,0.2,8.4,43,43.8,0.2,38.6,23.8,2,71.2,11.4,0.8,23,14.8,71.2,43,NAO
RECIFE,2014,2,67.2,90.8,59.8,29.8,71.2,60.2,120.4,62.4,126.8,93.8,21.8,25.2,14.8,126.8,70.8,NAO
RECIFE,2014,3,18.6,27.2,88.6,11.6,60,12,43,27,11.4,11.2,5.8,19.8,14.8,88.6,51.7,NAO
RECIFE,2014,4,10.2,18.6,12,94.6,30.8,192,54.2,35.6,2.4,18.8,10.4,6,14.8,192,103.4,SIM
RECIFE,2014,5,11.8,0,0,89.8,61,0.2,29,26,0.4,13.4,15.4,0.4,14.8,89.8,52.3,NAO
RECIFE,2015,1,18.8,0.2,97.2,0,12,101.6,165.8,19.8,13.2,0,3.2,0.2,14.8,165.8,90.3,SIM
RECIFE,2015,2,6.6,0,59.4,3.6,4.4,40.8,32.8,49.4,10.2,0.8,21.6,0,14.8,59.4,37.1,NAO
RECIFE,2015,3,5.8,4.2,87.8,3.4,27.4,33,61.4,17.4,9.2,17,6,24.6,14.8,87.8,51.3,NAO
RECIFE,2015,4,25.8,31,34,61,29.4,177.4,89.2,5.6,0.2,0,0,55.4,14.8,177.4,96.1,SIM
RECIFE,2015,5,8.8,13.6,21,0.6,99.4,99.8,89.6,4.2,0,0,0,7,14.8,99.8,57.3,NAO
RECIFE,2016,1,0,7.4,50.2,17,67.2,42.6,7,8.2,13.8,0.2,6,0.2,14.8,67.2,41,NAO
RECIFE,2016,2,32,1,0.6,26.4,161.4,6,14.8,3,39,3.4,2.6,0.2,14.8,161.4,88.1,NAO
RECIFE,2016,3,13,39.6,91.2,180.4,15.8,14.8,34.2,9.6,0.2,2,7.6,30.2,14.8,180.4,97.6,SIM
RECIFE,2016,4,57,3.6,38.6,33,66.6,34.2,19.8,21.4,0,2.2,1.8,29.6,14.8,66.6,40.7,NAO
RECIFE,2016,5,15.2,0,71.4,29.6,67.2,12.6,16,15.2,0.8,0.4,0.4,10.8,14.8,71.4,43.1,NAO
RECIFE,2017,1,4.2,0.4,69.2,60.8,92.8,25.8,107.6,29.4,7.8,11.4,0,1,14.8,107.6,61.2,NAO
RECIFE,2017,2,10,1.8,27.6,23.2,33.2,98.6,37.6,8.2,19.8,9.2,2.2,0,14.8,98.6,56.7,NAO
RECIFE,2017,3,2,4.2,4.4,101.8,24.6,103.2,167.4,33.8,29.2,27,8.8,0.6,14.8,167.4,91.1,SIM
RECIFE,2017,4,11,13,20.4,66.4,112.4,51.8,117.2,38.4,20.2,16.6,4.2,0.4,14.8,117.2,66,NAO
RECIFE,2017,5,2.6,2,5.2,25.6,159.8,101.6,4.2,7.2,7.4,0,0.2,0,14.8,159.8,87.3,NAO
RECIFE,2018,1,6.4,0.4,3.6,131.6,73,10,32,5.8,18.2,9.4,0.2,6.6,14.8,131.6,73.2,NAO
RECIFE,2018,2,0,16.8,14.6,101.4,40.2,30.8,5.4,22.8,4.2,1.6,10.4,43.8,14.8,101.4,58.1,NAO
RECIFE,2018,3,0,52.6,15,117.2,50.4,22.6,26,5.8,19.4,2,0.8,21.6,14.8,117.2,66,NAO
RECIFE,2018,4,1.4,38.8,30.2,75.6,20.8,40.8,24.6,28.6,8.2,0.2,10,2.6,14.8,75.6,45.2,NAO
RECIFE,2018,5,0,0.8,69.4,69.2,10.2,38.8,48.8,38.6,9.4,10.8,19,0.8,14.8,69.4,42.1,NAO
RECIFE,2019,1,10.8,12.2,7.6,60.2,10.8,8.4,30.2,50.2,62.4,0.8,2.4,0,14.8,62.4,38.6,NAO
RECIFE,2019,2,48.4,61.8,15.6,46.4,59.6,15,73.4,21.4,4,26.6,0,2.4,14.8,73.4,44.1,NAO
RECIFE,2019,3,5.4,32,14,43.4,19,216.4,64.6,55.6,33.6,31.8,0,5.2,14.8,216.4,115.6,SIM
RECIFE,2019,4,15,13.2,25.2,51.4,44.4,99.8,234.4,38.8,6,1.6,0,0.4,14.8,234.4,124.6,SIM
RECIFE,2019,5,28,0.4,133.6,38.2,83,53.8,33.4,18.8,1.6,0.4,1.8,0.8,14.8,133.6,74.2,NAO
RECIFE,2020,1,2.6,0.8,6.8,32.6,4.6,58.8,23.2,31.2,36.8,2.8,6.8,8.8,14.8,58.8,36.8,NAO
RECIFE,2020,2,1.2,27.6,37.2,4.2,8.4,127.2,47.2,35.2,11.2,0,36.2,13.8,14.8,127.2,71,NAO
RECIFE,2020,3,6.2,11.4,67,33.2,70.2,82.6,87.6,31.6,13.4,9.6,4.8,21.4,14.8,87.6,51.2,NAO
RECIFE,2020,4,25.4,39.4,23.8,158.8,125.6,24.6,31.6,6.6,2,10.4,13.8,7.2,14.8,158.8,86.8,NAO
RECIFE,2020,5,23.2,9.4,11.2,17.2,44.2,3.4,13.4,1.8,7.4,2.4,0,23.4,14.8,44.2,29.5,NAO
RECIFE,2021,1,1.2,1.2,73.2,26.6,127.4,30,57.4,99.8,10,10.4,0.6,0,14.8,127.4,71.1,NAO
RECIFE,2021,2,2.2,29.4,2.4,246.4,244,27.4,20,121.4,4.6,3.4,7.6,0,14.8,246.4,130.6,SIM
RECIFE,2021,3,14.4,61.2,42.8,100.2,11,73.8,49,54.6,13.4,9.8,0,0,14.8,100.2,57.5,NAO
RECIFE,2021,4,23.2,28,90.2,21.6,88.4,51.6,86.8,29,4.4,3,0,0,14.8,90.2,52.5,NAO
RECIFE,2021,5,12.2,0,13.6,42.4,44.4,17.4,40.2,0.6,18.2,19.6,0,0,14.8,44.4,29.6,NAO
